number,title,user,created_at,updated_at,url
271446,diagram_mania.OuDiaSecond.2 version 2.06.17,yusuke1109,2025-07-05T06:17:06Z,2025-07-12T01:37:49Z,https://github.com/microsoft/winget-pkgs/pull/271446
271442,New version: ggml.llamacpp version b5830,ggml-bot-2,2025-07-05T05:33:08Z,2025-07-14T00:09:03Z,https://github.com/microsoft/winget-pkgs/pull/271442
271365,Automatic update of CMU.CLAN from 8.33.00 to 8.34.00,wingetbot,2025-07-04T20:52:12Z,2025-07-12T15:47:14Z,https://github.com/microsoft/winget-pkgs/pull/271365
271157,New version: JFrog.Conan version 2.18.1,exoosh,2025-07-04T07:21:55Z,2025-07-10T12:07:48Z,https://github.com/microsoft/winget-pkgs/pull/271157
271117,New version: ggml.llamacpp version b5824,ggml-bot-2,2025-07-04T05:35:39Z,2025-07-14T00:13:21Z,https://github.com/microsoft/winget-pkgs/pull/271117
270789,OpenZFS.OpenZFSOnWindows-debug version 2.3.1rc9,jakubix30,2025-07-02T20:55:17Z,2025-07-03T18:40:54Z,https://github.com/microsoft/winget-pkgs/pull/270789
270694,Add dictim version 0.9.0.4,judepayne,2025-07-02T19:53:24Z,2025-07-12T02:04:29Z,https://github.com/microsoft/winget-pkgs/pull/270694
270687,Add RvToolsMerge version 1.4.2,sbroenne,2025-07-02T18:41:18Z,2025-07-12T14:11:01Z,https://github.com/microsoft/winget-pkgs/pull/270687
270504,New package: Ethersphere.Swarm-Desktop version 0.49.0,TejasMate,2025-07-02T10:54:39Z,2025-07-13T17:40:19Z,https://github.com/microsoft/winget-pkgs/pull/270504
269963,New version: LizardByte.Sunshine version 2025.628.4510,LizardByte-bot,2025-06-30T18:40:44Z,2025-07-11T23:19:16Z,https://github.com/microsoft/winget-pkgs/pull/269963
269387,New version: Zebra.ZebraDesigner.3 version 3.3.0.78,spectopo,2025-06-27T18:17:56Z,2025-07-12T14:16:47Z,https://github.com/microsoft/winget-pkgs/pull/269387
269129,New version: Rakuten.Viber version 25.6.0.0,spectopo,2025-06-27T11:14:23Z,2025-07-11T23:25:01Z,https://github.com/microsoft/winget-pkgs/pull/269129
269114,New version: xssnick.TON-Torrent version 1.7.1,TejasMate,2025-06-27T11:03:52Z,2025-07-11T21:04:52Z,https://github.com/microsoft/winget-pkgs/pull/269114
269073,New version: voidtools.Everything version 1.4.1.1028,spectopo,2025-06-27T06:15:04Z,2025-07-11T23:19:20Z,https://github.com/microsoft/winget-pkgs/pull/269073
269072,New version: voidtools.Everything.Lite version 1.4.1.1028,spectopo,2025-06-27T06:15:03Z,2025-07-11T23:19:18Z,https://github.com/microsoft/winget-pkgs/pull/269072
268911,"New package: LogMeIn,Inc.LogMeInRescueCallingCard version 7.51.1054",maxime45o,2025-06-26T14:49:41Z,2025-07-12T01:51:42Z,https://github.com/microsoft/winget-pkgs/pull/268911
266997,UCBerkeley.BOINC version 8.2.4,adamradocz,2025-06-19T07:48:20Z,2025-07-14T03:50:36Z,https://github.com/microsoft/winget-pkgs/pull/266997
264312,New version: Genesys.GenesysCloudBackgroundAssistant version 1.5.335.0 (1.5.335),spectopo,2025-06-10T03:32:46Z,2025-07-12T14:17:11Z,https://github.com/microsoft/winget-pkgs/pull/264312
236105,[Spec] Auto generate manifests for newer versions,vedantmgoyal9,2025-03-09T09:28:03Z,2025-06-09T06:54:17Z,https://github.com/microsoft/winget-pkgs/pull/236105
